folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Monitoring/Actigraphy,sawa244,Average daily sleep onset latency on non-workdays from actigraphy,,numeric,minutes,,AvgLatSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa245,Average daily duration of wake after sleep onset (WASO) on non-workdays from actigraphy,,numeric,minutes,,AvgDurWs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa246,Average daily duration of wake after sleep offset (snooze time) on non-workdays from actigraphy,,numeric,minutes,,AvgDurSz_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa247,Average daily duration of wake in bed on non-workdays from actigraphy,,numeric,minutes,,AvgDurWk_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa248,Average daily sleep efficiency on non-workdays from actigraphy,,numeric,percent,,AvgEffSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa249,Standard deviation of the daily sleep efficiency on non-workdays from actigraphy,,numeric,percent,,StdEffSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa25,Average daily number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleep over all days from actigraphy,"sleep bouts are continuous blocks, one or more epochs in duration, with each epoch of each block scored as ""sleep"", between the start time and the end time of the given interval.<br><br>This variable is similar to variable sawa65; however, sawa25 is generated by Actiware software before data optimization.",numeric,bouts,,AvgNumSb_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa250,Average daily sleep maintenance efficiency sleep in main sleep on non-workdays from actigraphy,,numeric,percent,,AvgMefSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa251,Standard deviation of the daily sleep maintenance efficiency sleep in main sleep on non-workdays from actigraphy,,numeric,percent,,StdMefSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa252,Average daily total sleep fragmentation index in main sleep on non-workdays from actigraphy,"Sleep Fragmentation is an index of restlessness during the sleep period expressed as a percentage. [Kristen L et al. 2011 (PubMed ID:21411507)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114508/) <br><br>There are three type of measures for sleep fragmentation: movement Index (MI), fragmentation index (FI), and total sleep fragmentation Index. The fragmentation index refers to the percentage of 60s periods of sleep out of the total number of periods of immobility. The movement index refers to the total of scored awake minutes divided by sleep period (i.e. total time in bed). The total sleep fragmentation index is the sum of FI and MI. (ActiGraph validation reference)[https://actigraphcorp.force.com/support/s/article/Sleep-Fragmentation-Index-Validation-Reference]",numeric,percent,,AvgIndFg_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa253,Average daily number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleep on non-workdays from actigraphy,"sleep bouts are continuous blocks, one or more epochs in duration, with each epoch of each block scored as ""sleep"", between the start time and the end time of the given interval.",numeric,,,AvgNumSb_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa254,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleep on non-workdays from actigraphy,"Wake bouts is also referred to as ""nocturnal awakenings"". There are always comparable number of wake bouts to sleep bouts.",numeric,,,AvgNumWb_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa255,Total number of days with naps on non-workdays from actigraphy,,numeric,days,,TtlDayNp_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa256,Total number of days with naps of any sleep recorded on non-workdays from actigraphy,,numeric,days,,TtlDayNp_ib_wn_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa257,Total number of days with naps of at least 15 minutes in length on non-workdays from actigraphy,,numeric,days,,TtlDayNp_ib_wn_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa258,Average daily number of naps in 24 hours on non-workdays from actigraphy,,numeric,naps,,PdyNumNp_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa259,Average daily number of naps of any sleep recorded on non-workdays from actigraphy,,numeric,naps,,AvgNumNp_in_wn_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa26,Average daily total sleep fragmentation index in main sleep across all days from actigraphy,"Sleep Fragmentation is an index of restlessness during the sleep period expressed as a percentage. [Kristen L et al. 2011 (PubMed ID:21411507)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114508/) <br><br>There are three type of measures for sleep fragmentation: movement Index (MI), fragmentation index (FI), and total sleep fragmentation Index. The fragmentation index refers to the percentage of 60s periods of sleep out of the total number of periods of immobility. The movement index refers to the total of scored awake minutes divided by sleep period (i.e. total time in bed). The total sleep fragmentation index is the sum of FI and MI. (ActiGraph validation reference)[https://actigraphcorp.force.com/support/s/article/Sleep-Fragmentation-Index-Validation-Reference]<br><br>This variable is similar to variable sawa64; however, sawa26 is generated by Actiware software before data optimization.   ",numeric,percent,,AvgIndFg_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa260,Average daily number of naps of at least 15 minutes in length on non-workdays from actigraphy,,numeric,naps,,PdyNumNp_ib_wn_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa261,Average sleep duration per nap on non-workdays from actigraphy,,numeric,minutes,,PnpDurSp_in_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa262,Average sleep duration per nap of any sleep recorded on non-workdays from actigraphy,,numeric,minutes,,PnpDurSp_in_wn_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa263,Average sleep duration per nap of at least 15 minutes in length on non-workdays from actigraphy,,numeric,minutes,,PnpDurSp_in_wn_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa264,Average daily sleep duration in naps on non-workdays from actigraphy,,numeric,minutes per day,,PdyDurSp_in_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa265,Average daily sleep duration in naps of at least 15 minutes in length on non-workdays from actigraphy,,numeric,minutes per day,,PdyDurSp_in_wn_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa266,Average daily start time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,AvgBptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa267,Standard deviation of daily start time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,StdBptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa268,Average daily sleep onset time on non-workdays from actigraphy,,time,,,AvgBptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa269,Standard deviation of the daily sleep onset time on non-workdays from actigraphy,,time,,,StdBptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa27,Average daily exposure to white light in 24 hours (including main rest intervals and naps) over all days from actigraphy,"This is the average white light intensity, in lux over the entire day, as generated by Actiware before data optimization. ",numeric,lux,,AvgExpLw_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa270,Average daily sleep offset time on non-workdays from actigraphy,,time,,,AvgEptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa271,Standard deviation of daily sleep offset time on non-workdays from actigraphy,,time,,,StdEptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa272,Average daily end time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,AvgEptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa273,Standard deviation of the daily end time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,StdEptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa274,Average daily mid-point time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,AvgMptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa275,Standard deviation of the daily mid-point time of in-bed or rest interval in main sleep on non-workdays from actigraphy,,time,,,StdMptRs_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa276,Average daily mid-point for sleep period on non-workdays from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,AvgMptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa277,Standard deviation of the daily mid-point for sleep period on non-workdays from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,StdMptSp_im_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa278,"Average whte light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on non-workdays from actigraphy",,numeric,minutes,,AvgTalLw_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa279,"Average blue light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on non-workdays from actigraphy",,numeric,minutes,,AvgTalLb_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa28,Standard deviation of the daily rest period in main sleep over all days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.<br><br>This is similar to sawa51; however, sawa28 is generated by Actiware software before data optimization. ",numeric,minutes,,StdPrdRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa280,"Average green light time above 1,000 microwatts per square centimeter threshold over 24-hour periods non-workdays from actigraphy",,numeric,minutes,,AvgTalLg_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa281,"Average red light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on non-workdays from actigraphy",,numeric,minutes,,AvgTalLr_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa282,Total number of reliable days with sleep data recorded from actigraphy,"This is the number of main rest intervals for which the sum of the quality score for in bed and out of bed times is 5 or 6. Bed times are given a reliability score between 1 and 3:  -8 = Not Applicable, -1 = Flag/ Confusion, 0 = No Evidence of Sleep, 1 = Unreliable, 2 = Somewhat reliable, 3 = Mostly reliable  ",numeric,days,,TtlNumRd_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa283,Average daily sleep duration in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,AvgDurSp_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa284,Standard deviation of the daily total sleep duration in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,StdDurSp_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa285,Average daily duration of rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,AvgPrdRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa286,Standard deviation of the daily rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,StdPrdRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa287,Average daily duration of sleep period in main sleep over all reliable days from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,AvgPrdSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa288,Standard deviation of the daily sleep period in main sleep over all reliable days from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,StdPrdSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa289,Average daily sleep duration in main sleep over all reliable days from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,AvgDurSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa29,Standard deviation of the daily sleep period across all days from actigraphy,"Sleep period is the interval between sleep onset and sleep offset time.<br><br>This variable is similar to sawa53; however, sawa29 is generated by Actiware software before data optimization. ",numeric,minutes,,StdPrdSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa290,Standard deviation of the daily sleep duration in main sleep over all reliable days from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,StdDurSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa291,Average daily sleep latency sleep in main sleep over all reliable days from actigraphy,,numeric,minutes,,AvgLatSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa292,Average daily duration of WASO (wake after sleep onset) in main sleep over all reliable days from actigraphy,,numeric,minutes,,AvgDurWs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa293,Average daily duration of wake after sleep offset (snooze time) in main sleep over all reliable days from actigraphy,,numeric,minutes,,AvgDurSz_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa294,Average daily duration of wake in bed in main sleep over all reliable days from actigraphy,,numeric,minutes,,AvgDurWk_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa295,Average daily sleep efficiency in main sleep over all reliable days from actigraphy,,numeric,percent,,AvgEffSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa296,Standard deviation of daily sleep efficiency in main sleep over all reliable days from actigraphy,,numeric,percent,,StdEffSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa297,Average daily sleep maintenance efficiency in main sleep over all reliable days from actigraphy,,numeric,percent,,AvgMefSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa298,Standard deviation of daily sleep maintenance efficiency in main sleep over all reliable days from actigraphy,,numeric,percent,,StdMefSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa299,Average index of fragmentation in main sleep over all reliable days from actigraphy,"Sleep Fragmentation is an index of restlessness during the sleep period expressed as a percentage. [Kristen L et al. 2011 (PubMed ID:21411507)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114508/) <br><br>There are three type of measures for sleep fragmentation: movement Index (MI), fragmentation index (FI), and total sleep fragmentation Index. The fragmentation index refers to the percentage of 60s periods of sleep out of the total number of periods of immobility. The movement index refers to the total of scored awake minutes divided by sleep period (i.e. total time in bed). The total sleep fragmentation index is the sum of FI and MI. (ActiGraph validation reference)[https://actigraphcorp.force.com/support/s/article/Sleep-Fragmentation-Index-Validation-Reference]",numeric,percent,,AvgIndFg_im_wr_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa3,Site ID,,numeric,,,,,,
Sleep Monitoring/Actigraphy,sawa30,Standard deviation of the daily sleep maintenance efficiency in main sleep over all days from actigraphy,"This variable is similar to variable sawa63; however, sawa30 is generated automatically by Actiware before data optimization.  ",numeric,percent,,StdMefSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa300,Average number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleep over all reliable days from actigraphy,"sleep bouts are continuous blocks, one or more epochs in duration, with each epoch of each block scored as ""sleep"", between the start time and the end time of the given interval.",numeric,,,AvgNumSb_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa301,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleep over all reliable days from actigraphy,"Wake bouts is also referred to as ""nocturnal awakenings"". There are always comparable number of wake bouts to sleep bouts.",numeric,,,AvgNumWb_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa302,Total number of reliable days with naps in the entire actigraphy recording period across all days from actigraphy,This is the number of reliable days that have at least one nap. This refers to the number of reliable days on which a participant reported taking naps.,numeric,days,,TtlDayNp_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa303,Total number of reliable days with naps of any sleep recorded in the entire actigraphy recording period across all days from actigraphy,,numeric,days,,TtlDayNp_ib_wr_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa304,Total number of reliable days with naps of at least 15 minutes in length in the entire actigraphy recording period across all days from actigraphy,,numeric,days,,TtlDayNp_ib_wr_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa305,Average daily number of naps in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,,numeric,naps,,PdyNumNp_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa306,Average daily number of naps of any sleep recorded over all reliable days from actigraphy,,numeric,naps,,AvgNumNp_in_wr_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa307,Average daily number of naps of at least 15 minutes in length over all reliable days from actigraphy,,numeric,naps,,AvgNumNp_in_wr_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa308,Average sleep duration per nap over all reliable days from actigraphy,,numeric,minutes,,PnpDurSp_in_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa309,Avearage sleep duration per nap of any sleep recorded over all reliable days from actigraphy,,numeric,minutes,,PnpDurSp_in_wr_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa31,Average daily sleep period in main sleep on weekends from actigraphy,"Sleep period is the interval between sleep onset and sleep offset time.<br><br>This variable is similar to sawa146; however, sawa31 is derived from Actiware variable sawa18 before data optimization. ",numeric,minutes,,AvgPrdSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa310,Average sleep duration per nap of at least 15 minutes in length over all reliable days from actigraphy,,numeric,minutes,,PnpDurSp_in_wr_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa311,Average daily sleep duration in naps over all reliable days from actigraphy,,numeric,minutes per day,,PdyDurSp_in_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa312,Average daily sleep duration in naps of at least 15 minutes in length over all reliable days from actigraphy,,numeric,minutes per day,,PdyDurSp_in_wr_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa313,Average daily start time of in-bed or rest interval in main sleep over all reliable days from actigraphy,,time,,,AvgBptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa314,Standard deviation of the daily start time of in-bed or rest interval in main sleep over all reliable days from actigraphy,,time,,,StdBptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa315,Average daily sleep onset time in main sleep over all reliable days from actigraphy,,time,,,AvgBptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa316,Standard deviation of the daily sleep onset time in main sleep over all reliable days from actigraphy,,time,,,StdBptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa317,Average daily sleep offset time in main sleep over all reliable days from actigraphy,,time,,,AvgEptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa318,Standard deviation of the daily sleep offset time in main sleep over all reliable days from actigraphy,,time,,,StdEptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa319,Average daily end time of rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",time,,,AvgEptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa32,Average daily sleep period on weekdays from actigraphy,"This variable is similar to sawa99; however, sawa32 is derived from Actiware variable sawa18 before data optimization.",numeric,minutes,,AvgPrdSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa320,Standard deviation of the daily end time of rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",time,,,StdEptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa321,Average daily mid-point of rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",time,,,AvgMptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa322,Standard deviation of the daily mid-point time of rest period in main sleep over all reliable days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",time,,,StdMptRs_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa323,Average daily mid-point of sleep period in main sleep over all reliable days from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,AvgMptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa324,Standard deviation of the daily mid-point of sleep period in main sleep over all reliable days from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,StdMptSp_im_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa325,Average time above lux threshold for white light in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,,numeric,minutes,,AvgTalLw_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa326,Average time above lux threshold for blue light in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,,numeric,minutes,,AvgTalLb_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa327,Average time above lux threshold for green light in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,,numeric,minutes,,AvgTalLg_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa328,Average time above lux threshold for red light in 24 hours (including main rest intervals and naps) over all reliable days from actigraphy,,numeric,minutes,,AvgTalLr_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa329,Number of days logged in sleep diary,,numeric,days,,TtlDayRd_ib_wr_f3,,,
Sleep Monitoring/Actigraphy,sawa33,Average daily sleep maintenance efficiency in main sleep on weekends from actigraphy,"This variable is similar to variable sawa156; however, sawa33 is derived from Actiware variable sawa24 before data optimization.  ",numeric,percent,,AvgMefSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa330,Average daily start time of rest period in main sleep over all days from sleep diary,This is the average time at which the participant self-reported going to bed across all days in the daily sleep log.,time,,,AvgBptRs_im_w7_f3,,,
Sleep Monitoring/Actigraphy,sawa331,Average daily end time of rest period in main sleep over all days from sleep diary,This is the average time at which the participant self-reported going to bed across all days in the daily sleep log.,time,,,AvgEptRs_im_w7_f3,,,
Sleep Monitoring/Actigraphy,sawa332,Total number of workdays with sleep data recorded from sleep diary,This is the number of daily sleep log entries on which the participant reported going to work or school. ,numeric,days,,TtlDayRd_ib_ww_f3,,,
Sleep Monitoring/Actigraphy,sawa333,Percent of days with naps from sleep diary,,numeric,percent,,PctDayNp_in_w7_f3,,,
Sleep Monitoring/Actigraphy,sawa334,Average activity counts per minute in active interval over all days from actigraphy,,numeric,counts per minute,,PmnNumAt_ia_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa335,Average activity counts per minute in main sleep over all days from actigraphy,,numeric,counts per minute,,PmnNumAt_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa336,Average activity per minute in naps over all days from actigraphy,"This is the average activity count per minute, across all time spent in a nap interval.  ",numeric,counts per minute,,PmnNumAt_in_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa337,Average activity counts per minute in 24 hours (including main rest intervals and naps) over all days from actigraphy,,numeric,counts per minute,,PmnNumAt_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa338,Interdaily stability of rest-activity rhythm in 24 hours (including main rest intervals and naps) over all days from actigraphy,,numeric,,,IteStaRh_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa339,Interdaily variability of rest-activity rhythm in 24 hours (including main rest intervals and naps) over all days from actigraphy,,numeric,,,IteVarRh_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa34,Average daily sleep maintenance efficiency in main sleep on weekdays from actigraphy,"This variable is similar to variable sawa109; however, sawa34 is derived from Actiware variable sawa24 before data optimization. ",numeric,percent,,AvgMefSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa340,Study overlaps daylight savings time (March or November),,choices,,dst,,,,
Sleep Monitoring/Actigraphy/Administrative,sawa341,Original epoch length for processed actigraphy study,,numeric,seconds,,,,,
Sleep Monitoring/Actigraphy/Administrative,sawa342,Version of Actiware software,,numeric,,,,,,
Sleep Monitoring/Actigraphy,sawa343,Total number of days with valid actigraphy data on workdays from actigraphy,The number of days with valid actigraphy data on which the participant self-reported as having attended work or school in the daily sleep log. ,numeric,days,,TtlDayVa_ib_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa344,Total number of days with valid actigraphy data on non-workdays from actigraphy,The number of days with valid actigraphy data on which the participant self-reported as not having attended work or school.,numeric,days,,TtlDayVa_ib_wn_f2,,,
Sleep Monitoring/Actigraphy,sawa35,Average daily total sleep duration in main sleep on weekends from actigraphy,"This variable is similar to the calculated variable sawa148; however, sawa35 is calculated based on data generated by Actiware software before data cleaning and imputation. ",numeric,minutes,,AvgDurSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa36,Average daily total sleep duration in main sleep on weekdays from actigraphy,"This variable is similar to the calculated variable sawa101; however, sawa36 is calculated based on data generated by Actiware software before data cleaning and imputation. ",numeric,minutes,,AvgDurSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa37,Average daily start time of in-bed or rest interval in main sleep over all days from actigraphy,This variable is similar to sawa78; however sawa37 is calculated based on data generated by Actiware software before data optimization. ,time,,,AvgBptRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa38,Standard deviation of the daily start time of in-bed or rest interval in main sleep over all days from actigraphy,"This variable is similar to sawa79; however, sawa38 is calculated based on data generated by Actiware software before data optimization.  ",time,,,StdBptRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa39,Average daily start time of in-bed or rest interval in main sleep on weekdays from actigraphy,This variable is similar to sawa125; however sawa39 is calculated based on data generated by Actiware software before data optimization. ,time,,,AvgBptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa4,Valid/Invalid Status,,numeric,,,,,,
Sleep Monitoring/Actigraphy,sawa40,Average daily start time of in-bed or rest interval in main sleep on weekends from actigraphy,This variable is similar to the generated variable sawa172; however sawa40 is calculated based on data generated by Actiware software before data optimization. ,time,,,AvgBptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa42,Standard deviation of the daily sleep onset time across all days from actigraphy,This variable is similar to variable sawa81; however sawa42 is calculated based on data generated by Actiware software before data optimization.  ,time,,,StdBptSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa45,Average daily total sleep duration in main sleep across all days from actigraphy,"Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.<br><br>This variable is similar to the calculated variable sawa54; however, sawa45 is calculated based on data generated by Actiware software before data cleaning and imputation.",numeric,hours,,AvgDurSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa46,Average daily duration of wake in bed across all days from actigraphy,"This variable is similar to sawa59; however, sawa46 is generated by Actiware software before data optimization.   ",numeric,hours,,AvgDurWk_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa47,Total number of days with sleep data recorded over all days from actigraphy,"This is the number of valid main rest intervals in the recording that meet quality criteria. Main rest intervals are the intervals of time between the epoch at which the participant went to bed and the epoch at which the participant got out of bed, as marked by the scorer. It refers to the participantís ìnightlyî time in bed, including time awake and asleep. ",numeric,days,,TtlNumRd_ib_wr_f2,,,
Sleep Monitoring/Actigraphy,sawa48,Average daily total sleep duration in main sleep and naps combined across all days from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,AvgDurSp_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa49,Standard deviation of sleep period in 24 hours (including main rest intervals and naps) over all days from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,StdPrdSp_ib_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa50,Average daily rest period in main sleep over all days from actigraphy,"This variable is similar to sawa16; however, sawa16 is generated by Actiware software before data optimization. ",numeric,minutes,,AvgPrdRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa51,Standard deviation of the daily rest period in main sleep over all days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.<br><br>This is similar to sawa28; however, sawa28 is generated by Actiware software before data optimization. ",numeric,minutes,,StdPrdRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa52,Average daily sleep period across all days from actigraphy,"Sleep period is the interval between sleep onset and sleep offset time.<br><br>This variable is similar to sawa18; however, sawa18 is generated by Actiware software before data optimization.",numeric,minutes,,AvgPrdSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa53,Standard deviation of daily sleep period across all days from actigraphy,"Sleep period is the interval between sleep onset and sleep offset time.<br><br>This variable is similar to sawa29; however, sawa29 is generated by Actiware software before data optimization. ",numeric,minutes,,StdPrdSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa54,Average daily total sleep duration in main sleep across all days from actigraphy,"Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.<br><br>This variable is similar to variable sawa45; however, sawa45 is calculated based on data generated by Actiware software before data cleaning and imputation.",numeric,minutes,,AvgDurSp_im_w7_f2,,,
