,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
798,Medical History/Medications,med_anticoag_heparin_sueno,Heparin anticoagulants,Heparin anticoagulants,,,choices,,noyes01,,NA,NA,NA,NA
799,Medical History/Medications,med_anticoag_sueno,Anticoagulants,Anticoagulants,,,choices,,noyes01,,NA,NA,NA,NA
800,Medical History/Medications,med_antidepre_ssri,Antidepressants - selective serotonin re-uptake inhibitors,Antidepressants - selective serotonin re-uptake inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
801,Medical History/Medications,med_antidepre_ssri_sueno,Antidepressants - selective serotonin re-uptake inhibitors,Antidepressants - selective serotonin re-uptake inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
802,Medical History/Medications,med_antidepre_tricyc,Antidepressants tricyclic antidepressants,Antidepressants tricyclic antidepressants,,,choices,,noyes01,,NA,NA,NA,NA
803,Medical History/Medications,med_antidepre_tricyc_sueno,Antidepressants tricyclic antidepressants,Antidepressants tricyclic antidepressants,,,choices,,noyes01,,NA,NA,NA,NA
804,Medical History/Medications,med_antidepress,Antidepressants,Antidepressants,,,choices,,noyes01,,NA,NA,NA,NA
805,Medical History/Medications,med_antidepress_sueno,Antidepressants,Antidepressants,,,choices,,noyes01,,NA,NA,NA,NA
806,Medical History/Medications,med_antidiab,Antidiabetics,Antidiabetics,,,choices,,noyes01,,NA,NA,NA,NA
807,Medical History/Medications,med_antidiab_sueno,Antidiabetics,Antidiabetics,,,choices,,noyes01,,NA,NA,NA,NA
808,Medical History/Medications,med_antihypert,Antihypertensives,Antihypertensives,,,choices,,noyes01,,NA,NA,NA,NA
809,Medical History/Medications,med_antihypert_acei,ACE Inhibitors,ACE Inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
810,Medical History/Medications,med_antihypert_acei_sueno,ACE Inhibitors,ACE Inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
811,Medical History/Medications,med_antihypert_at2ras,Angiotensin II Receptor Antaognists,Angiotensin II Receptor Antaognists,,,choices,,noyes01,,NA,NA,NA,NA
812,Medical History/Medications,med_antihypert_at2ras_sueno,Angiotensin II Receptor Antagonists,Angiotensin II Receptor Antagonists,,,choices,,noyes01,,NA,NA,NA,NA
813,Medical History/Medications,med_antihypert_sueno,Antihypertensives,Antihypertensives,,,choices,,noyes01,,NA,NA,NA,NA
814,Medical History/Medications,med_antiplatelet,Antiplatelets,Antiplatelets,,,choices,,noyes01,,NA,NA,NA,NA
815,Medical History/Medications,med_antiplatelet_sueno,Antiplatelets,Antiplatelets,,,choices,,noyes01,,NA,NA,NA,NA
816,Medical History/Medications,med_antipsycho,Antipsychotics,Antipsychotics,,,choices,,noyes01,,NA,NA,NA,NA
817,Medical History/Medications,med_antipsycho_sueno,Antipsychotics,Antipsychotics,,,choices,,noyes01,,NA,NA,NA,NA
818,Medical History/Medications,med_aspirin,Aspirin-containing analgesics,Aspirin-containing analgesics,,,choices,,noyes01,,NA,NA,NA,NA
819,Medical History/Medications,med_aspirin_sueno,Aspirin-containing analgesics,Aspirin-containing analgesics,,,choices,,noyes01,,NA,NA,NA,NA
820,Medical History/Medications,med_bb,Beta Blockers,Beta Blockers,,,choices,,noyes01,,NA,NA,NA,NA
821,Medical History/Medications,med_bb_ophthalmic,Ophthalmic Beta Blockers,Ophthalmic Beta Blockers,,,choices,,noyes01,,NA,NA,NA,NA
822,Medical History/Medications,med_bb_ophthalmic_sueno,Ophthalmic Beta Blockers,Ophthalmic Beta Blockers,,,choices,,noyes01,,NA,NA,NA,NA
823,Medical History/Medications,med_bb_sueno,Beta Blockers,Beta Blockers,,,choices,,noyes01,,NA,NA,NA,NA
824,Medical History/Medications,med_bronchodilator_sueno,Bronchodilator and Antiasthmatic Agents Medication use,Bronchodilator and Antiasthmatic Agents Medication use,,,choices,,noyes01,,NA,NA,NA,NA
825,Medical History/Medications,med_cacb,Calcium Channel Blockers,Calcium Channel Blockers,,,choices,,noyes01,,NA,NA,NA,NA
826,Medical History/Medications,med_cacb_sueno,Calcium Channel Blockers,Calcium Channel Blockers,,,choices,,noyes01,,NA,NA,NA,NA
827,Medical History/Medications,med_cardiacglycosides,Cardiac Glycosides,Cardiac Glycosides,,,choices,,noyes01,,NA,NA,NA,NA
828,Medical History/Medications,med_cardiacglycosides_sueno,Cardiac Glycosides,Cardiac Glycosides,,,choices,,noyes01,,NA,NA,NA,NA
829,Medical History/Medications,med_chemo,Chemotherapy,Chemotherapy,,,choices,,noyes01,,NA,NA,NA,NA
830,Medical History/Medications,med_chemo_sueno,Chemotherapy,Chemotherapy,,,choices,,noyes01,,NA,NA,NA,NA
831,Medical History/Medications,med_clopid,Clopidogrel (Plavix),Clopidogrel (Plavix),,,choices,,noyes01,,NA,NA,NA,NA
832,Medical History/Medications,med_clopid_sueno,Clopidogrel (Plavix),Clopidogrel (Plavix),,,choices,,noyes01,,NA,NA,NA,NA
833,Medical History/Medications,med_contraceptives,Contraceptives,Contraceptives,,,choices,,noyes01,,NA,NA,NA,NA
834,Medical History/Medications,med_contraceptives_sueno,Contraceptives,Contraceptives,,,choices,,noyes01,,NA,NA,NA,NA
835,Medical History/Medications,med_cortico_inhaled_sueno,Inhaled Corticosteroid Medication use,Inhaled Corticosteroid Medication use,,,choices,,noyes01,,NA,NA,NA,NA
836,Medical History/Medications,med_cox2,COX-2 inhibitors,COX-2 inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
837,Medical History/Medications,med_cox2_sueno,COX-2 Inhibitors,COX-2 Inhibitors,,,choices,,noyes01,,NA,NA,NA,NA
838,Medical History/Medications,med_current_hrt,Any Hormone Repl. Therapy,Any Hormone Repl. Therapy,,,choices,,noyes01,,NA,NA,NA,NA
839,Medical History/Medications,med_current_hrt_sueno,Any hormone replacement therapy,Any hormone replacement therapy,,,choices,,noyes01,,NA,NA,NA,NA
840,Medical History/Medications,med_diuretic,Diuretics,Diuretics,,,choices,,noyes01,,NA,NA,NA,NA
841,Medical History/Medications,med_diuretic_sueno,Diuretics,Diuretics,,,choices,,noyes01,,NA,NA,NA,NA
842,Medical History/Medications,med_diuretic_thiazide,Thiazide Diuretics,Thiazide Diuretics,,,choices,,noyes01,,NA,NA,NA,NA
843,Medical History/Medications,med_diuretic_thiazide_sueno,Thiazide diuretics,Thiazide diuretics,,,choices,,noyes01,,NA,NA,NA,NA
844,Medical History/Medications,med_estrogen_combo,Estrogens - Combinations Only,Estrogens - Combinations Only,,,choices,,noyes01,,NA,NA,NA,NA
845,Medical History/Medications,med_estrogen_combo_sueno,Estrogens - combination only,Estrogens - combination only,,,choices,,noyes01,,NA,NA,NA,NA
846,Medical History/Medications,med_estrogens,Estrogens,Estrogens,,,choices,,noyes01,,NA,NA,NA,NA
847,Medical History/Medications,med_estrogens_sueno,Estrogens,Estrogens,,,choices,,noyes01,,NA,NA,NA,NA
848,Medical History/Medications,med_fertility_reg,Fertility Regulators,Fertility Regulators,,,choices,,noyes01,,NA,NA,NA,NA
849,Medical History/Medications,med_fertility_reg_sueno,Fetility regulators,Fetility regulators,,,choices,,noyes01,,NA,NA,NA,NA
850,Medical History/Medications,med_fibares_nicoacid,Fibric/Nicotinic Acids (trt of TG and HDL),Fibric/Nicotinic Acids (trt of TG and HDL),,,choices,,noyes01,,NA,NA,NA,NA
851,Medical History/Medications,med_fibares_nicoacid_sueno,Fibric/Nicotinic Acids (trt of TG and HDL),Fibric/Nicotinic Acids (trt of TG and HDL),,,choices,,noyes01,,NA,NA,NA,NA
852,Medical History/Medications,med_insulin,Insulins,Insulins,,,choices,,noyes01,,NA,NA,NA,NA
853,Medical History/Medications,med_insulin_sueno,Insulins,Insulins,,,choices,,noyes01,,NA,NA,NA,NA
854,Medical History/Medications,med_lhrh,LHRH/GnRH Only,LHRH/GnRH Only,,,choices,,noyes01,,NA,NA,NA,NA
855,Medical History/Medications,med_lhrh_ag,LHRH/GnRH Agonist Analog,LHRH/GnRH Agonist Analog,,,choices,,noyes01,,NA,NA,NA,NA
856,Medical History/Medications,med_lhrh_ag_sueno,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone Agonist Analog ,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone Agonist Analog ,,,choices,,noyes01,,NA,NA,NA,NA
857,Medical History/Medications,med_lhrh_ant,LHRH/GnRH Antagonists,LHRH/GnRH Antagonists,,,choices,,noyes01,,NA,NA,NA,NA
858,Medical History/Medications,med_lhrh_ant_sueno,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone Antagonists,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone Antagonists,,,choices,,noyes01,,NA,NA,NA,NA
859,Medical History/Medications,med_lhrh_sueno,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone only,Luteinizing Hormone-Releasing Hormone/Gonadotropin-Releasing Hormone only,,,choices,,noyes01,,NA,NA,NA,NA
860,Medical History/Medications,med_lld,Lipid lowering drugs/Antihyperlipidemics (LLD),Lipid lowering drugs/Antihyperlipidemics (LLD),,,choices,,noyes01,,NA,NA,NA,NA
861,Medical History/Medications,med_lld_sueno,Lipid-lowering drugs/Antihyperlipidemics,Lipid-lowering drugs/Antihyperlipidemics,,,choices,,noyes01,,NA,NA,NA,NA
862,Medical History/Medications,med_metformin,Metformins,Metformins,,,choices,,noyes01,,NA,NA,NA,NA
863,Medical History/Medications,med_metformin_sueno,Metformins,Metformins,,,choices,,noyes01,,NA,NA,NA,NA
864,Medical History/Medications,med_nsaid,NSAIDs,NSAIDs,,,choices,,noyes01,,NA,NA,NA,NA
865,Medical History/Medications,med_nsaid_sueno,NSAIDs,NSAIDs,,,choices,,noyes01,,NA,NA,NA,NA
866,Medical History/Medications,med_oi_steroid,Oral/inhalantable Glucocorticorsteroids,Oral/inhalantable Glucocorticorsteroids,,,choices,,noyes01,,NA,NA,NA,NA
867,Medical History/Medications,med_oi_steroid_sueno,Oral or inhalable glucocorticosteroids,Oral or inhalable glucocorticosteroids,,,choices,,noyes01,,NA,NA,NA,NA
868,Medical History/Medications,med_pde4_sueno,Phosphodiesterase Type IV Inhibitor medication use,Phosphodiesterase Type IV Inhibitor medication use,,,choices,,noyes01,,NA,NA,NA,NA
869,Medical History/Medications,med_progestins,Progestins,Progestins,,,choices,,noyes01,,NA,NA,NA,NA
870,Medical History/Medications,med_progestins_sueno,Progestins,Progestins,,,choices,,noyes01,,NA,NA,NA,NA
871,Medical History/Medications,med_pulmonary,Pulmonary medication,Pulmonary medication,,,choices,,noyes01,,NA,NA,NA,NA
872,Medical History/Medications,med_pulmonary_sueno,Pulmonary medications,Pulmonary medications,,,choices,,noyes01,,NA,NA,NA,NA
873,Medical History/Medications,med_serm,Selective Estrogen Receptor Modulators,Selective Estrogen Receptor Modulators,,,choices,,noyes01,,NA,NA,NA,NA
874,Medical History/Medications,med_serm_sueno,Selective Estrogen Receptor Modulators,Selective Estrogen Receptor Modulators,,,choices,,noyes01,,NA,NA,NA,NA
875,Medical History/Medications,med_statin,Statins,Statins,,,choices,,noyes01,,NA,NA,NA,NA
876,Medical History/Medications,med_statin_sueno,Statins,Statins,,,choices,,noyes01,,NA,NA,NA,NA
877,Medical History/Medications,sleep_med,Highest reported frequency of sleeping medication usage,Highest reported frequency of sleeping medication usage,,,numeric,,,,NA,NA,NA,NA
123,Sleep Monitoring/Actigraphy,sawa172,Average in bed time for main sleep over all weekend, from actigraphy,This variable is similar to the generated variable sawa40; however sawa40 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w2_f2,NA,NA,NA,AvgBptRs_im_w2_f2
321,Sleep Monitoring/Actigraphy,sawa40,Mean time in bed on weekends, from actigraphy,This variable is similar to the generated variable sawa172; however sawa40 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w2_f2,NA,NA,NA,AvgBptRs_im_w2_f2
71,Sleep Monitoring/Actigraphy,sawa125,Average in bed time for main sleeps over all weekdays, from actigraphy,This variable is similar to sawa125; however sawa39 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w5_f2,NA,NA,NA,AvgBptRs_im_w5_f2
319,Sleep Monitoring/Actigraphy,sawa39,Mean time in bed on weekdays, from actigraphy,This variable is similar to sawa125; however sawa39 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w5_f2,NA,NA,NA,AvgBptRs_im_w5_f2
317,Sleep Monitoring/Actigraphy,sawa37,Mean time in bed, from actigraphy,This variable is similar to sawa78; however sawa37 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w7_f2,NA,NA,NA,AvgBptRs_im_w7_f2
357,Sleep Monitoring/Actigraphy,sawa78,Average in-bed time for main sleep over all days, from actigraphy,This variable is similar to sawa37; however sawa37 is calculated based on data generated by Actiware software before data optimization. ,NA,time,,,AvgBptRs_im_w7_f2,NA,NA,NA,AvgBptRs_im_w7_f2
299,Sleep Monitoring/Actigraphy,sawa330,Average in-bed time across all days from sleep diary, from survey questionnaires,This is the average time at which the participant self-reported going to bed across all days in the daily sleep log.,NA,time,,,AvgBptRs_im_w7_f3,NA,NA,NA,AvgBptRs_im_w7_f3
227,Sleep Monitoring/Actigraphy,sawa266,Average in bed time for main sleeps over all non-workdays, from actigraphy,,NA,time,,,AvgBptRs_im_wn_f2,NA,NA,NA,AvgBptRs_im_wn_f2
280,Sleep Monitoring/Actigraphy,sawa313,Average in bed time for main sleep over all reliable days, from actigraphy,,NA,time,,,AvgBptRs_im_wr_f2,NA,NA,NA,AvgBptRs_im_wr_f2
175,Sleep Monitoring/Actigraphy,sawa219,Average in bed time for main sleep over all workdays, from actigraphy,,NA,time,,,AvgBptRs_im_ww_f2,NA,NA,NA,AvgBptRs_im_ww_f2
125,Sleep Monitoring/Actigraphy,sawa174,Average sleep onset time over all weekends, from actigraphy,"This variable is similar to variable SAWA44; however, SAWA44 is calculated based on data generated by Actiware software before data optimization",NA,time,,,AvgBptSp_im_w2_f2,NA,NA,NA,AvgBptSp_im_w2_f2
73,Sleep Monitoring/Actigraphy,sawa127,Average sleep onset time over all weekdays, from actigraphy,"This variable is similar to variable SAWA43; however, SAWA43 is calculated based on data generated by Actiware software before data optimization",NA,time,,,AvgBptSp_im_w5_f2,NA,NA,NA,AvgBptSp_im_w5_f2
360,Sleep Monitoring/Actigraphy,sawa80,Average sleep onset time over all days, from actigraphy,"This variable is similar to variable SAWA41; however, SAWA41 is calculated based on data generated by Actiware software before data optimization",NA,time,,,AvgBptSp_im_w7_f2,NA,NA,NA,AvgBptSp_im_w7_f2
229,Sleep Monitoring/Actigraphy,sawa268,Average sleep onset time over all non-workdays, from actigraphy,,NA,time,,,AvgBptSp_im_wn_f2,NA,NA,NA,AvgBptSp_im_wn_f2
282,Sleep Monitoring/Actigraphy,sawa315,Average sleep onset time over all reliable days, from actigraphy,,NA,time,,,AvgBptSp_im_wr_f2,NA,NA,NA,AvgBptSp_im_wr_f2
178,Sleep Monitoring/Actigraphy,sawa221,Average sleep onset time for main sleeps over all workdays, from actigraphy,,NA,time,,,AvgBptSp_im_ww_f2,NA,NA,NA,AvgBptSp_im_ww_f2
90,Sleep Monitoring/Actigraphy,sawa142,Average 24 hour sleep over weekend, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_w2_f2,NA,NA,NA,AvgDurSp_ib_w2_f2
376,Sleep Monitoring/Actigraphy,sawa95,Average 24 hour sleep over weekdays, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_w5_f2,NA,NA,NA,AvgDurSp_ib_w5_f2
326,Sleep Monitoring/Actigraphy,sawa48,Average 24 hour sleep over all days, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_w7_f2,NA,NA,NA,AvgDurSp_ib_w7_f2
194,Sleep Monitoring/Actigraphy,sawa236,Average 24 hour sleep over non-workdays, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_wn_f2,NA,NA,NA,AvgDurSp_ib_wn_f2
246,Sleep Monitoring/Actigraphy,sawa283,Average 24 hour sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_wr_f2,NA,NA,NA,AvgDurSp_ib_wr_f2
141,Sleep Monitoring/Actigraphy,sawa189,Average 24 hour sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgDurSp_ib_ww_f2,NA,NA,NA,AvgDurSp_ib_ww_f2
96,Sleep Monitoring/Actigraphy,sawa148,Average sleep time in main sleep over weekend, from actigraphy,"This variable is similar to sawa35; however, sawa35 is calculated based on data generated by Actiware software before data cleaning and imputation. ",NA,numeric,minutes,,AvgDurSp_im_w2_f2,NA,NA,NA,AvgDurSp_im_w2_f2
315,Sleep Monitoring/Actigraphy,sawa35,Weekend sleep mean, from actigraphy,"This variable is similar to the calculated variable sawa148; however, sawa35 is calculated based on data generated by Actiware software before data cleaning and imputation. ",NA,numeric,minutes,,AvgDurSp_im_w2_f2,NA,NA,NA,AvgDurSp_im_w2_f2
45,Sleep Monitoring/Actigraphy,sawa101,Average sleep time in main sleep over weekdays, from actigraphy,"This variable is similar to variable sawa36; however, sawa36 is calculated based on data generated by Actiware software before data cleaning and imputation. ",NA,numeric,minutes,,AvgDurSp_im_w5_f2,NA,NA,NA,AvgDurSp_im_w5_f2
316,Sleep Monitoring/Actigraphy,sawa36,Weekday sleep mean, from actigraphy,"This variable is similar to the calculated variable sawa101; however, sawa36 is calculated based on data generated by Actiware software before data cleaning and imputation. ",NA,numeric,minutes,,AvgDurSp_im_w5_f2,NA,NA,NA,AvgDurSp_im_w5_f2
323,Sleep Monitoring/Actigraphy,sawa45,Average nightly sleep, from actigraphy,"This variable is similar to the calculated variable sawa54; however, sawa45 is calculated based on data generated by Actiware software before data cleaning and imputation.",NA,numeric,hours,,AvgDurSp_im_w7_f2,NA,NA,NA,AvgDurSp_im_w7_f2
332,Sleep Monitoring/Actigraphy,sawa54,Average sleep time in main sleep period over all days, from actigraphy,"This variable is similar to variable sawa45; however, sawa45 is calculated based on data generated by Actiware software before data cleaning and imputation.",NA,numeric,minutes,,AvgDurSp_im_w7_f2,NA,NA,NA,AvgDurSp_im_w7_f2
201,Sleep Monitoring/Actigraphy,sawa242,Average sleep time in main sleep over non-workdays, from actigraphy,,NA,numeric,minutes,,AvgDurSp_im_wn_f2,NA,NA,NA,AvgDurSp_im_wn_f2
252,Sleep Monitoring/Actigraphy,sawa289,Average sleep time in main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgDurSp_im_wr_f2,NA,NA,NA,AvgDurSp_im_wr_f2
148,Sleep Monitoring/Actigraphy,sawa195,Average sleep time in main sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgDurSp_im_ww_f2,NA,NA,NA,AvgDurSp_im_ww_f2
101,Sleep Monitoring/Actigraphy,sawa152,Average snooze time in main sleep over weekend, from actigraphy,,NA,numeric,minutes,,AvgDurSz_im_w2_f2,NA,NA,NA,AvgDurSz_im_w2_f2
49,Sleep Monitoring/Actigraphy,sawa105,Average snooze time in main sleep over weekday main sleeps, from actigraphy,,NA,numeric,minutes,,AvgDurSz_im_w5_f2,NA,NA,NA,AvgDurSz_im_w5_f2
154,Sleep Monitoring/Actigraphy,sawa20,Average sleep snooze time, from actigraphy,"This variable is similar to sawa58; however, sawa20 is generated by Actiware software before data optimization.",NA,numeric,minutes,,AvgDurSz_im_w7_f2,NA,NA,NA,AvgDurSz_im_w7_f2
336,Sleep Monitoring/Actigraphy,sawa58,Average snooze time in main sleep periods over all days, from actigraphy,"This variable is similar to sawa20; however, sawa20 is generated by Actiware software before data optimization.",NA,minutes,numeric,,AvgDurSz_im_w7_f2,NA,NA,NA,AvgDurSz_im_w7_f2
205,Sleep Monitoring/Actigraphy,sawa246,Average snooze time in main sleep over non-workdays, from actigraphy,,NA,numeric,minutes,,AvgDurSz_im_wn_f2,NA,NA,NA,AvgDurSz_im_wn_f2
257,Sleep Monitoring/Actigraphy,sawa293,Average snooze time in main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgDurSz_im_wr_f2,NA,NA,NA,AvgDurSz_im_wr_f2
152,Sleep Monitoring/Actigraphy,sawa199,Average snooze time in main sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgDurSz_im_ww_f2,NA,NA,NA,AvgDurSz_im_ww_f2
102,Sleep Monitoring/Actigraphy,sawa153,Average total time awawke during weekend in bed, from actigraphy,,NA,numeric,minutes,,AvgDurWk_im_w2_f2,NA,NA,NA,AvgDurWk_im_w2_f2
50,Sleep Monitoring/Actigraphy,sawa106,Average total time awake during weekday in bed, from actigraphy,,NA,numeric,minutes,,AvgDurWk_im_w5_f2,NA,NA,NA,AvgDurWk_im_w5_f2
324,Sleep Monitoring/Actigraphy,sawa46,Average nightly wake, from actigraphy,"This variable is similar to sawa59; however, sawa46 is generated by Actiware software before data optimization.   ",NA,numeric,hours,,AvgDurWk_im_w7_f2,NA,NA,NA,AvgDurWk_im_w7_f2
337,Sleep Monitoring/Actigraphy,sawa59,Average total time awake during in-bed periods, from actigraphy,"This variable is similar to sawa46; however, sawa46 is generated by Actiware software before data optimization.   ",NA,numeric,minutes,,AvgDurWk_im_w7_f2,NA,NA,NA,AvgDurWk_im_w7_f2
206,Sleep Monitoring/Actigraphy,sawa247,Average total time awake in bed during non-workdays, from actigraphy,,NA,numeric,minutes,,AvgDurWk_im_wn_f2,NA,NA,NA,AvgDurWk_im_wn_f2
258,Sleep Monitoring/Actigraphy,sawa294,Average total time awake while in bed over reliable days, from actigraphy,,NA,numeric,minutes,,AvgDurWk_im_wr_f2,NA,NA,NA,AvgDurWk_im_wr_f2
155,Sleep Monitoring/Actigraphy,sawa200,Average total time awake during workday in bed, from actigraphy,,NA,numeric,minutes,,AvgDurWk_im_ww_f2,NA,NA,NA,AvgDurWk_im_ww_f2
100,Sleep Monitoring/Actigraphy,sawa151,Average wake after sleep onset in weekend main sleep, from actigraphy,,NA,numeric,minutes,,AvgDurWs_im_w2_f2,NA,NA,NA,AvgDurWs_im_w2_f2
48,Sleep Monitoring/Actigraphy,sawa104,Average wake after sleep onset in weekday main sleeps, from actigraphy,,NA,numeric,minutes,,AvgDurWs_im_w5_f2,NA,NA,NA,AvgDurWs_im_w5_f2
176,Sleep Monitoring/Actigraphy,sawa22,Average sleep WASO, from actigraphy,"This variable is similar to sawa57; however, sawa22 is generated by Actiware software before data optimization.  ",NA,numeric,minutes,,AvgDurWs_im_w7_f2,NA,NA,NA,AvgDurWs_im_w7_f2
335,Sleep Monitoring/Actigraphy,sawa57,Average wake after sleep onset in main sleep, from actigraphy,"This variable is similar to sawa22; however, sawa22 is generated by Actiware software before data optimization.  ",NA,numeric,minutes,,AvgDurWs_im_w7_f2,NA,NA,NA,AvgDurWs_im_w7_f2
204,Sleep Monitoring/Actigraphy,sawa245,Average wake after sleep onset in main sleep across non-workdays, from actigraphy,,NA,numeric,minutes,,AvgDurWs_im_wn_f2,NA,NA,NA,AvgDurWs_im_wn_f2
256,Sleep Monitoring/Actigraphy,sawa292,Average wake after sleep onset in main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgDurWs_im_wr_f2,NA,NA,NA,AvgDurWs_im_wr_f2
151,Sleep Monitoring/Actigraphy,sawa198,Average wake after sleep onset in workday main sleep, from actigraphy,,NA,numeric,minutes,,AvgDurWs_im_ww_f2,NA,NA,NA,AvgDurWs_im_ww_f2
103,Sleep Monitoring/Actigraphy,sawa154,Average sleep efficiency in main sleep over weekend, from actigraphy,,NA,numeric,percent,,AvgEffSp_im_w2_f2,NA,NA,NA,AvgEffSp_im_w2_f2
51,Sleep Monitoring/Actigraphy,sawa107,Average sleep efficiency in main sleep over weekdays, from actigraphy,,NA,numeric,percent,,AvgEffSp_im_w5_f2,NA,NA,NA,AvgEffSp_im_w5_f2
165,Sleep Monitoring/Actigraphy,sawa21,Average sleep efficiency, from actigraphy,"This variable is similar to the calculated variable sawa60; however, sawa21 is generated automatically by Actiware before data optimization.  ",NA,numeric,percent,,AvgEffSp_im_w7_f2,NA,NA,NA,AvgEffSp_im_w7_f2
339,Sleep Monitoring/Actigraphy,sawa60,Average sleep efficiency in main sleep over all days, from actigraphy,"This variable is similar to sawa21; however, sawa21 is generated automatically by Actiware before data optimization.  ",NA,numeric,percent,,AvgEffSp_im_w7_f2,NA,NA,NA,AvgEffSp_im_w7_f2
207,Sleep Monitoring/Actigraphy,sawa248,Average sleep efficiency in main sleeps over non-workdays, from actigraphy,,NA,numeric,percent,,AvgEffSp_im_wn_f2,NA,NA,NA,AvgEffSp_im_wn_f2
259,Sleep Monitoring/Actigraphy,sawa295,Average sleep efficiency in main sleep over reliable days, from actigraphy,,NA,numeric,percent,,AvgEffSp_im_wr_f2,NA,NA,NA,AvgEffSp_im_wr_f2
156,Sleep Monitoring/Actigraphy,sawa201,Average sleep efficiency in main sleep over workday, from actigraphy,,NA,numeric,percent,,AvgEffSp_im_ww_f2,NA,NA,NA,AvgEffSp_im_ww_f2
129,Sleep Monitoring/Actigraphy,sawa178,Average out of bed time over all weekends, from actigraphy,,NA,time,,,AvgEptRs_im_w2_f2,NA,NA,NA,AvgEptRs_im_w2_f2
78,Sleep Monitoring/Actigraphy,sawa131,Average out of bed weekday time, from actigraphy,,NA,time,,,AvgEptRs_im_w5_f2,NA,NA,NA,AvgEptRs_im_w5_f2
364,Sleep Monitoring/Actigraphy,sawa84,Average out of bed time over all days, from actigraphy,,NA,time,,,AvgEptRs_im_w7_f2,NA,NA,NA,AvgEptRs_im_w7_f2
300,Sleep Monitoring/Actigraphy,sawa331,Average  wake time across all days from sleep diary, from survey questionnaires,,NA,time,,,AvgEptRs_im_w7_f3,NA,NA,NA,AvgEptRs_im_w7_f3
234,Sleep Monitoring/Actigraphy,sawa272,Average out of bed time across all non-workdays, from actigraphy,,NA,time,,,AvgEptRs_im_wn_f2,NA,NA,NA,AvgEptRs_im_wn_f2
286,Sleep Monitoring/Actigraphy,sawa319,Average out of bed time across all reliable days, from actigraphy,,NA,time,,,AvgEptRs_im_wr_f2,NA,NA,NA,AvgEptRs_im_wr_f2
182,Sleep Monitoring/Actigraphy,sawa225,Average out of bed time over all workdays, from actigraphy,,NA,time,,,AvgEptRs_im_ww_f2,NA,NA,NA,AvgEptRs_im_ww_f2
127,Sleep Monitoring/Actigraphy,sawa176,Average sleep offset time over all weekends, from actigraphy,,NA,time,,,AvgEptSp_im_w2_f2,NA,NA,NA,AvgEptSp_im_w2_f2
75,Sleep Monitoring/Actigraphy,sawa129,Average sleep offset time over all weekdays, from actigraphy,,NA,time,,,AvgEptSp_im_w5_f2,NA,NA,NA,AvgEptSp_im_w5_f2
362,Sleep Monitoring/Actigraphy,sawa82,Average sleep offset time over all days, from actigraphy,,NA,time,,,AvgEptSp_im_w7_f2,NA,NA,NA,AvgEptSp_im_w7_f2
232,Sleep Monitoring/Actigraphy,sawa270,Average sleep offset time over all non-workdays, from actigraphy,,NA,time,,,AvgEptSp_im_wn_f2,NA,NA,NA,AvgEptSp_im_wn_f2
284,Sleep Monitoring/Actigraphy,sawa317,Average sleep offset time over all reliable days, from actigraphy,,NA,time,,,AvgEptSp_im_wr_f2,NA,NA,NA,AvgEptSp_im_wr_f2
180,Sleep Monitoring/Actigraphy,sawa223,Average sleep offset time over all workdays, from actigraphy,,NA,time,,,AvgEptSp_im_ww_f2,NA,NA,NA,AvgEptSp_im_ww_f2
231,Sleep Monitoring/Actigraphy,sawa27,Average white levels in an average day, from actigraphy,"This is the average white light intensity, in lux over the entire day, as generated by Actiware before data optimization. ",NA,numeric,lux,,AvgExpLw_ib_w7_f2,NA,NA,NA,AvgExpLw_ib_w7_f2
